Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score,Vote
2.0,348.1156789,65544.90852000001,0.0,13590.985880000002,0.0,788.8357472,0.0,1.0,0.0,0.415719506,0.408646057,4440.0,513.7130246,87.65477941,6675.971562,707.4015455,30.93028062,22.66523824,,63119.963560000004,1.0,319060.6641,8.499652897,564.8545512999999,1.6051255869999999,116.03855959999999,50.0,6.0,7.0,77.43081654,2.0,3.0,3.0,0.0,0.0,540.0171399000001,8.0
8.0,415.6407175,35768.86517,1.0,19343.792019999997,1.0,196.45442849999998,1.0,1.0,1.0,0.5083499229999999,0.081102862,3098.0,91.53871738,91.95300923,2764.792627,553.7913877000001,67.64124848,9.567586811,12.902000000000001,15771.62504,0.0,66652.53336,0.357988123,258.1715193,26.8669761,138.54690580000002,90.0,1.0,15.0,574.4307946,1.0,3.0,0.0,0.0,0.0,176.504862,7.0
3.0,161.5219132,30612.23705,0.0,2962.65491,1.0,691.3296607000001,0.0,0.0,0.0,0.7984625059999999,0.235786587,9021.0,426.55012039999997,67.80691564,6538.812434,367.2609883,24.01099547,20.65308985,2.9789999999999996,55316.28216,0.0,323273.2314,9.640862742000001,568.5712193,43.74759591,53.84063774,30.0,5.0,9.0,100.4899529,5.0,3.0,2.0,0.0,0.0,501.1548609,3.0
8.0,255.89318050000003,17246.57171,1.0,7370.99993,1.0,232.2275918,1.0,0.0,0.0,0.731145362,0.820515544,,,81.61827009,2451.634087,168.75363090000002,90.13908093,14.65789529,9.041,21483.01815,1.0,40881.85957,1.7741642119999999,202.19262990000001,93.26614679,85.29772684,70.0,7.0,9.0,619.7641934,0.0,1.0,4.0,1.0,0.0,37.27964808,1.0
1.0,290.14243389999996,522.7150569,0.0,9460.339915999999,0.0,36.46138899,1.0,0.0,1.0,0.5332584779999999,0.475999179,9316.0,33.26883214,70.88057755,120.5850902,780.1193399,11.86977308,5.767914019,6.684,3028.419622,2.0,29.21124251,0.159147698,5.404742594,60.16110992,96.71414463,,7.0,13.0,837.0468997,0.0,2.0,1.0,1.0,1.0,11.95793161,1.0
1.0,324.68768650000004,9679.633362,0.0,11831.7952,1.0,200.8675646,1.0,0.0,1.0,0.303382759,0.217379022,9603.0,180.93229130000003,33.28179747,1256.228653,164.3380059,,13.45110744,6.397,17332.90587,0.0,7998.870901,2.829668419,89.43640702,28.17975129,108.22922879999999,80.0,4.0,11.0,682.3347125,5.0,2.0,0.0,0.0,0.0,58.16972352,1.0
3.0,39.65367620000001,4124.851289,2.0,197.9305628,0.0,571.2308475,1.0,1.0,1.0,0.438845919,0.339346043,5564.0,,68.02396614,3890.549245,473.72235379999995,39.41460818,19.62003861,4.436,45005.1465,1.0,97385.02699,6.663829887,312.0657415,64.34044275,13.21789207,100.0,0.0,9.0,247.57377889999998,0.0,3.0,0.0,1.0,1.0,387.14589930000005,4.0
2.0,158.67247030000001,48825.126339999995,1.0,2860.3300280000003,0.0,1328.134212,0.0,0.0,1.0,0.943703698,0.965134798,5229.0,907.5736619999999,80.86745294,11046.4512,518.1191927,74.48523955,30.12596325,10.770999999999999,107573.3339,2.0,852169.7121,7.482408865,923.1303874,35.54867385,52.89082345,100.0,0.0,13.0,677.7951082000001,3.0,1.0,2.0,1.0,0.0,838.0097542999999,10.0
3.0,344.9985298,46678.8397,0.0,13349.88679,0.0,570.8068528,1.0,1.0,1.0,0.733026966,0.186277625,9010.0,381.5676667,4.749242612,4822.18217,2.7806553989999996,14.31337821,19.53375711,0.99,46018.845239999995,2.0,164758.6122,9.772468733,405.90468369999996,37.82843505,114.99950990000002,80.0,4.0,12.0,197.1150257,1.0,0.0,2.0,0.0,0.0,373.6109687,9.0
3.0,48.141221,8223.952355,0.0,,0.0,937.8679702,0.0,,1.0,0.433206009,0.7035409290000001,8762.0,661.9316758,19.49424571,6448.755606000001,997.896564,1.206707093,25.72803288,7.2379999999999995,75047.35571,2.0,262645.2062,2.421487849,512.4892255,61.01495591,16.04707367,100.0,0.0,16.0,181.831577,2.0,0.0,2.0,1.0,1.0,581.7610787000001,7.0
2.0,110.10720549999999,16474.5668,1.0,1393.768703,1.0,709.4538259,1.0,0.0,1.0,0.67146536,0.904329816,8757.0,447.3070699,5.151173496,5383.303155,691.6049086,36.36451089,21.14963522,1.2429999999999999,55466.90327,2.0,201483.2908,2.416729415,448.8689015,34.92278405,36.70240184,70.0,7.0,12.0,77.24007676,4.0,3.0,4.0,1.0,0.0,523.9811457,9.0
3.0,915.9394566,117144.5278,0.0,93531.43407,1.0,717.0127797,1.0,1.0,1.0,0.068147618,0.082190218,6643.0,411.5964336,44.39124258,4660.057638,960.6631682,9.424944129,20.28783955,3.3569999999999998,53627.92252,1.0,147215.3127,5.554168848,383.6864771,14.74330262,305.3131522,90.0,1.0,11.0,186.80579409999999,3.0,1.0,0.0,0.0,4.0,616.4146836,9.0
10.0,128.2170581,17736.07064,2.0,1879.3627960000001,0.0,627.4563413,1.0,1.0,0.0,0.38505872399999996,0.868925625,7828.0,372.40981939999995,2.003065241,4894.6740119999995,664.9722469,55.37988525,19.29792267,2.1719999999999997,48383.83015,1.0,172212.9132,3.9384765269999997,414.9854373,65.27629921,42.73901937,60.0,2.0,9.0,153.32716619999997,4.0,0.0,4.0,0.0,0.0,501.57792019999994,9.0
