Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score
Violets,1,113.4458013,1688.51019,Below_30,1477.809692,Yes,202.0427866,Yes,Male,By_16:00,0.902344991,0.323119932,4546,1.306757016,30.73183543,,161.2040049,41.67049278,1.143134732,11.454,9898.088192,Yes,1993.760682,6.962244916,44.65154737,39.00163798,37.81526709,60,Financial,12,683.7604398,1,Public_or_other,Industry_or_other,No,1,392.8031011
Browns,2,161.7208412,696.0695824,Below_30,2969.865888,Yes,88.94229953,Yes,Male,By_16:00,0.087620467,0.131688478,4070,74.59638745,25.67228044,278.3170567,65.89266332,58.60262043,8.636920021,,7130.880444,Maybe,166.7308016,6.213654187,12.91242818,56.4683951,53.90694706,60,Financial,9,793.0178229,2,Car,Industry_or_other,No,0,41.02861602
Greens,6,524.9471168,50048.85388,30-45,30803.81297,No,789.7969619,Yes,Female,By_16:00,0.386436178,0.332398496,8300,492.9936272,5.563676846,3846.209872,789.5173731,14.24701146,22.2034598,1.7,58906.8903,Yes,81808.73422,8.248500268,286.0222618,85.21506921,174.9823723,80,Healthcare,10,253.1023828,1,Motorcycle_or_truck,Services_or_Retail,No,0,635.0009424
Whites,1,521.4543625,50265.18536,Below_30,30396.55725,No,565.7279455,Yes,Male,After_16:00,0.505579531,0.180459944,8150,317.4117658,38.0508044,3526.650064,989.7275227,59.49494503,17.8160536,1.85,41861.44455,No,,4.365582895,289.1826532,55.60015098,,,Social,8,278.9042973,1,Car,Services_or_Retail,No,0,502.2781817
Browns,6,210.8793608,7793.195795,30-45,5021.415879,No,423.5898955,Yes,Female,After_16:00,0.106550092,0.622895326,5461,435.8540721,79.31648127,1980.379343,999.7056068,14.62356721,20.87711839,10.539,37683.85466,No,12291.51828,0.413171088,110.8671199,53.68979471,70.29312028,70,Social,11,605.5640381,4,Car,Public_Sector,No,2,40.46903718
Reds,7,446.2815699,97772.77928,Below_30,22288.45382,No,768.2167966,No,Male,By_16:00,0.438502575,0.632902758,3609,456.5100457,39.77741033,7485.515073,291.5709894,60.74148172,21.36609571,8.391,61109.15419,Yes,431976.9028,7.548836072,657.2494982,5.157213937,148.7605233,50,Other,8,183.1718942,2,Foot_or_bicycle,Public_Sector,No,1,583.2656114
Turquoises,2,639.8434659,97909.83416,45_and_up,45712.13236,No,741.7035478,Yes,Female,After_16:00,0.176640972,0.834341777,5301,422.6292957,87.32303677,5435.904869,71.5573912,13.0817354,,4.699,56124.2554,Maybe,210740.3324,6.43730619,459.0646277,14.91336147,213.2811553,100,Education,13,157.4377543,2,Public_or_other,Student_or_Unemployed,No,1,630.8614378
Turquoises,1,172.2679979,22425.30481,45_and_up,3364.785233,No,663.098621,Yes,Female,After_16:00,0.054487287,0.117354603,5655,423.8338402,44.9267826,4752.973092,892.3724904,10.88689505,20.58722517,4.345,51705.10151,Yes,,3.451766039,390.5305411,75.93830668,57.42266597,80,Healthcare,11,134.1796403,2,Car,Public_Sector,Yes,1,485.1902214
Turquoises,10,106.8051035,15808.02582,45_and_up,1313.082826,Yes,720.2623605,Yes,Female,After_16:00,0.564217359,0.308631779,3538,445.9194999,11.77974539,5332.083514,269.4903526,13.89794017,21.1168061,6.462,55850.46448,No,197157.7134,1.418581968,444.0244514,84.96332904,35.60170115,90,Environment,13,92.00712118,1,Public_or_other,Services_or_Retail,Yes,0,549.0647309
Purples,1,594.7968186,31509.77771,Below_30,39517.5162,No,105.9998529,Yes,Male,By_16:00,0.565103076,0.960596533,3646,84.6613957,12.23501379,1758.593786,699.7377102,,9.201162736,12.354,10114.61914,Maybe,25257.82293,4.46698725,158.9270994,15.80402963,198.2656062,100,Education,15,715.3930867,2,Motorcycle_or_truck,Hightech,No,0,27.82377366
