Vote,Yearly_IncomeK,Avg_size_per_room,Avg_Satisfaction_with_previous_vote,Weighted_education_rank,Avg_monthly_income_all_years,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Overall_happiness_score
9,-0.04228571428571426,-0.22401268393226775,-0.686128848642211,0.022690766945770824,-0.6475229041046611,7,0.8413918081591838,-0.9705051644608167,-0.04106051830170438
10,-0.3365714285714285,2.584787470357535,1.444679658767162,1.8921357376896815,1.199343422937568,2,0.46437936188963225,2.141620185404237,1.9345386778831681
5,0.7865714285714289,0.11069648568751847,-0.9592239361494438,-0.7405194348879157,0.22123302989694535,5,-2.174707761997229,-0.28698107361048236,-0.013244503592841999
4,-0.5934285714285714,-0.41737844138470254,-0.10144469347966727,-0.560629593178715,-0.6227388045402175,0,-0.28964553064947096,-0.23164383591844057,-0.5280931454968831
4,0.3394285714285714,-0.40653300480313703,-1.0910733957117593,-0.466226287428654,-0.14229452149139593,4,-1.043670423188574,-0.3429413996352075,-0.47737865897618836
2,-0.5342857142857143,0.3660904045625815,-0.1641868500989762,-0.5713714740533862,-0.6682906488133729,7,-0.28964553064947096,-0.24052609675677736,0.6804213969875856
1,0.741714285714286,-0.7460426394148055,0.3007719337368671,-1.09389184553735,-0.6992684621733601,4,0.08736691562008064,1.0308065509121458,-1.7095212720741488
6,-0.8022857142857143,0.9562843964898696,0.12012301902620041,0.8841879725100208,-0.8530258180998019,2,-2.174707761997229,-0.29859177649817903,-0.18534597804231812
10,-0.9528571428571428,2.164164959476434,2.098471116872713,1.9885822903818122,-0.7561940357650101,2,-1.043670423188574,1.79626617818505,-1.5698046179373064
9,0.014857142857142902,-0.48619584445997016,-1.7315283567581328,-0.07150128345156337,-0.9932739134805689,7,-0.28964553064947096,-0.691536628006456,-0.18536862538736235
9,-0.48457142857142843,-0.3820882215419957,-0.21692663392390224,0.022724637458635698,-0.2883788324809125,0,1.2184042544287355,-0.8332286693968297,0.08395234317819458
2,0.3580000000000001,0.3616914247100221,-1.110775039094634,-0.5109606311750352,-0.8274085956979395,1,1.5954167006982871,-0.2284524296071421,0.6099132815006669
4,0.8965714285714288,-0.44268504328949504,-1.6821226971980008,-0.5671103732586965,-0.7542931397602364,1,-0.6666579769190225,-0.20367340519246002,-0.5538377727888746
9,-0.3322857142857143,-0.24862203145326575,-0.37848010966347506,-0.13383801649084673,-0.16536998346509885,1,0.08736691562008064,-0.842853684571116,-0.038682525431228645
11,-0.011428571428571344,-0.39061621072447555,-0.7188638868783722,0.3284997589117296,0.3110630306409945,1,-0.6666579769190225,-0.7824033310360653,-0.2811878640016124
2,-0.486,0.14616800523061224,-0.21541112289445036,-0.5833658433972393,-0.7734552759014495,2,-0.6666579769190225,-0.1805532707845939,0.7744236334425685
2,0.3271428571428574,0.25047987799322013,-1.0780400008584727,-0.6286274074675553,-0.08115215090694552,1,1.2184042544287355,-0.24718446595616125,0.5892822806536054
1,0.18485714285714305,-0.5579939613959461,0.8915181330172183,-1.3228023881664097,0.04799006341953693,2,-0.28964553064947096,1.1637184798364946,-1.714200204992298
9,-0.9825714285714285,-0.165475086808118,0.31138051094303043,-0.30096338156632874,0.41230796187684404,7,-0.28964553064947096,-0.7284710576499432,-0.050206949736555394
2,0.512,0.3412725744109242,-1.2741471280695489,-0.6310621494896868,-0.6150211592912163,2,-0.28964553064947096,-0.17667102697048828,0.698294182279274
4,-0.7808571428571429,-0.14799015444538435,0.09739035358442184,0.11928408739897478,-0.7879672256619829,7,-1.7976953157276774,-1.0401291779672144,-0.17152728038861864
1,-0.3282857142857143,-0.5979648334344656,1.4358896947963415,-1.0974357988963808,0.12112360580965269,1,1.5954167006982871,1.0712773083112537,-1.820829701227271
3,0.06971428571428584,-0.12162556000525886,-0.19874050157047954,0.04053832443777689,-0.8003137079814644,5,-2.174707761997229,-0.9225671821209405,-0.3481286819114618
4,-0.9214285714285714,-0.10304597160837901,0.24651663888248895,0.21615529484344803,0.6722885900776627,7,-1.4206828694581257,-1.0420391134344045,-0.24042508391871972
5,-0.7031428571428571,0.15100356926453465,0.6211509653629992,-0.2919959491408511,-0.7154709874628525,6,0.08736691562008064,-0.23676755510607328,-1.0195013250813023
12,0.2234285714285713,0.5592445944217734,0.24439492344125638,0.6738857395248656,-1.7615822834836836,7,0.8413918081591838,-0.457211215374028,0.6321145556852336
9,0.12057142857142855,-0.08589280432934761,-0.8588971059997278,-0.20027444638585756,-0.10492456782452982,7,0.08736691562008064,-0.8136366168733905,0.2275135856163847
4,-0.9988571428571429,-0.45477413707945186,0.3286573366787822,-0.43165632861992165,-0.6587763603572376,7,-1.4206828694581257,-0.3624911035313834,-0.4476926799408883
0,-0.46371428571428575,2.2085641172774784,0.9733557286076208,-1.2005558296949812,2.3078471383805326,4,-0.28964553064947096,1.31734598722292,1.154617391621224
4,-0.820857142857143,-0.2617195909684928,0.13982466240907498,-0.4638044881331249,-0.4198724242344483,2,-1.7976953157276774,-0.4033173306588644,-0.47999627850271004
9,0.01542857142857157,-0.10287300481316791,-0.7473554942320679,-0.12672121402867534,-0.12466908265537793,4,1.2184042544287355,-0.7564849866679207,0.42318805477764404
5,0.20885714285714307,-0.3581865679932371,-0.34635127583909475,0.08133249374540345,-0.3378407725606477,5,-2.174707761997229,-0.657408229126828,0.5125720634807974
7,-0.5257142857142856,-1.2396449516061998,1.645333319066594,-0.3225355002054622,-0.7584699352522318,0,1.2184042544287355,0.21996448971832785,-0.790817889656736
1,0.6154285714285717,-0.22380299339085472,0.4347431087404152,-0.3863318979124222,0.08727858077112019,4,1.2184042544287355,0.9307193834300903,-2.207586000148898
1,-0.4991428571428571,-1.4975143798667403,1.6171448139187887,-1.0998485256799952,-0.6398214292219248,1,0.8413918081591838,1.575532522256029,-2.0697763546231562
1,0.6705714285714288,1.2587273439255566,0.3762443830035717,1.1980018897514988,-0.5389805021284378,4,-0.28964553064947096,0.7161826512293203,1.4255993836648846
1,0.7611428571428571,0.5689539494575427,0.28016098373632137,2.000090559645531,-0.48254922932664057,1,0.8413918081591838,0.9153860665753423,0.7336805827264316
8,0.17371428571428593,-0.09144285004332224,-0.3090697045145782,0.4483959245524227,0.012251201198043703,3,-0.6666579769190225,-0.6822747778260212,0.5648955736666993
8,0.6451428571428575,0.20827389121638748,-0.8091883442337056,0.2884042693121537,0.3901713379319585,3,-1.043670423188574,-0.7838041080956408,0.5746044607641733
0,0.8054285714285716,-1.2510500824751338,-0.37302426995744825,-0.6680138235462054,1.4699244074217157,1,1.2184042544287355,0.7700467067697339,-1.4273852468503931
1,-0.38657142857142857,0.8651508945834662,1.4977225447979787,0.9601615683539788,0.2741290048535579,7,0.08736691562008064,0.9058010645791172,2.000217332167336
3,-0.6714285714285715,-0.21862240688480145,0.5875066205091668,-0.16886141723669526,-0.16934757287854912,5,-1.7976953157276774,-0.8264586814068309,-0.09158193685732982
1,-0.3454285714285714,0.5042304181513334,1.4540758271497645,1.79267426544897,-0.92350494986765,2,-0.28964553064947096,0.8116029850985844,1.0469072227671234
1,0.9485714285714288,0.5055881814441537,0.0813259366722317,1.04911533745092,1.144516385097582,2,0.08736691562008064,0.1912875023570939,1.1532487542492127
4,0.20371428571428574,-0.028823589147557182,-0.9470998479138286,0.20068467970622528,-0.5303561487529802,2,-2.174707761997229,-1.1534243525659396,-0.1454650099385555
1,-0.5697142857142856,0.6530944446486892,1.6920110587737132,1.4408051395007277,-0.5822899832319945,2,0.08736691562008064,0.9831081909462319,1.7852626326002408
9,-0.534,-0.0784884862244901,-0.16448995230486668,-0.1138921931653963,-0.22136403701685683,7,-0.28964553064947096,-0.9201044496157537,0.25108510521881566
12,-0.8462857142857143,-0.8685008755918248,1.37920958229484,0.4605660317571683,1.2293915971351577,2,-1.043670423188574,-0.2977113892337453,-0.4545402249982714
9,-0.41428571428571415,0.16008514404426605,-0.2914897765729359,-0.2127599890999158,-0.37523435981576014,0,1.2184042544287355,-0.8341173831411334,-0.30319253790835704
9,-0.5417142857142856,-0.22836612515434238,-0.15630619274582638,0.0009893623164632822,-0.5207423911727977,4,0.8413918081591838,-0.9546479922545064,0.007384659108972792
11,-0.8340000000000001,-0.7620023849430688,-0.8834356957800507,-0.45055573685194367,0.14079662677026,0,-0.28964553064947096,-0.2027880347260599,0.322821625084789
8,-0.1605714285714286,0.1539058874456954,0.045559876377167,0.7922458478135544,0.3095395205368388,3,-0.6666579769190225,-0.5619429552595617,0.3866712029538314
1,0.5582857142857143,1.3783576610262562,0.49536354991849135,1.8841329850879984,-0.19585059355017131,2,0.46437936188963225,1.6727194419671236,2.0332015859325065
3,-0.2974285714285714,0.5045836411455503,0.1907458329986592,0.6648617201736645,0.43679087231676467,5,-1.4206828694581257,-0.6357677726965772,0.019027457406580517
7,-0.8891428571428571,2.553870249915728,-1.1448039162813421,1.2224610372339295,-0.20703598821405733,1,0.08736691562008064,1.4212254357119787,1.3724480818592413
7,0.9245714285714288,2.351580924854706,0.10678652196702354,1.6004561203013756,0.4870943933391642,0,1.2184042544287355,1.7058087690151549,1.7275704848944529
6,0.4262857142857146,-0.3343665965696783,-1.1832164663024347,-0.4428361170368457,-0.7713377952937799,1,-0.28964553064947096,-0.4142274842399047,-1.2204274997875952
9,0.5748571428571432,-0.0840329373264741,-1.3408296133654325,0.016132655812405545,-0.3855122028993654,4,0.46437936188963225,-1.0686082164510458,-0.05885323651270833
7,-0.23171428571428576,-1.6155200777444265,1.3334411492053928,-0.415132871209294,-0.2436296840664893,4,0.08736691562008064,0.7133457940336391,-1.1660808307207922
1,0.5997142857142856,1.8055715729885133,0.45141373006438607,1.8814112359750295,-0.6036772697547914,7,0.08736691562008064,1.699395390727603,1.8327565526217353
7,-0.054857142857142716,-0.8155598959066956,1.1458208837592474,-0.5402166733611936,-0.29571045483588726,2,0.46437936188963225,0.9954420730354858,-2.0548323499704186
1,-0.45771428571428574,2.5773093008064727,1.5731949940646837,2.042881396132689,1.0030787751609052,2,0.08736691562008064,2.3695720769956345,2.1620435601167283
1,-0.5137142857142856,2.28323342572956,1.6326030264191982,1.8712087730574414,-0.4271713566133597,2,-0.28964553064947096,2.0493237712049526,2.0677221422384418
8,-0.11799999999999988,-0.22703505046691025,0.00039764769950006193,-0.030654719021344853,-0.4143128839658122,3,-0.28964553064947096,-0.711871885481562,0.4868011447936838
6,-0.6822857142857142,0.9209708846117514,-0.007179907447759284,0.8568784215762004,0.5815920230969508,7,-1.043670423188574,-0.3566692806074392,-0.02074219249741648
3,-0.7931428571428571,0.47082721021678153,0.7166281602184689,0.2477089455107223,-0.553401975777086,3,-0.6666579769190225,-1.1229354281725257,-0.034346494048077984
8,-0.41114285714285703,-0.1612347956135559,0.31138051094303043,0.20911416269988503,-0.3113260783731982,3,-0.6666579769190225,-0.6427549310333075,0.6596206481526976
9,-0.5277142857142856,-0.3482463252119676,-0.17115820083445488,-0.15789899286582484,-0.15972563030915077,7,-0.6666579769190225,-0.7481209343451236,0.09723128374565855
1,0.8288571428571432,1.4455971484564478,0.2083257609403012,1.7333498212532588,-0.6829605267086359,2,-1.043670423188574,1.1268404855168919,1.2884562978511678
9,-0.4505714285714286,0.08914770697753545,-0.2529957964248577,23.99081340646269,0.5442470898189494,2,0.46437936188963225,-0.9233589148174504,-0.09644139401126456
4,0.9465714285714286,-0.08743805058116139,-1.7351655832288173,0.03536974864096333,0.6703071900844629,1,-0.6666579769190225,-1.0050349812919581,-0.24829331278440986
2,0.011428571428571566,0.09037033142757935,-1.0198814641487937,-0.6510149885205553,-0.570012824083256,7,-0.28964553064947096,-0.19893876338461194,0.6330396055927006
0,0.33171428571428585,2.506176325408625,0.1295191874088021,0.468596934686972,1.4096246031804631,7,0.46437936188963225,1.0125482830306538,-1.1888054065726321
11,0.06914285714285717,-0.20636192655900074,-0.8043387089394595,0.09035049771969296,-0.4619432387496367,0,0.08736691562008064,-0.9924749425302131,0.1549189460011478
0,0.7848571428571431,1.5583490829550937,-0.35120091113334084,-0.3373099886379254,3.0696545576759418,0,0.8413918081591838,0.5836117969975241,1.4022758502603587
0,-0.7131428571428571,1.3703509584210551,1.2379639543499232,0.0733211065869357,3.1953278451953246,2,-0.28964553064947096,-0.28110440286905203,-0.6209286910825131
3,-0.5637142857142856,0.4187407133150225,0.4732370888884935,0.7722374356970628,-0.2121552310817376,5,-2.174707761997229,-0.6308577523967618,-0.2296366685159906
