Avg_monthly_expense_when_under_age_21,Avg_lottary_expanses,Age_group,Avg_monthly_expense_on_pets_or_plants,Looking_at_poles_results,Avg_environmental_importance,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Yearly_IncomeK,Avg_size_per_room,Garden_sqr_meter_per_person_in_residancy_area,Avg_Residancy_Altitude,Yearly_ExpensesK,%Time_invested_in_work,Avg_education_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_government_satisfaction,Weighted_education_rank,%_satisfaction_financial_policy,Avg_monthly_income_all_years,Last_school_grades,Most_Important_Issue,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Financial_agenda_matters,Num_of_kids_born_last_10_years,Overall_happiness_score,Vote
178.5897085,27158.025439999998,1.0,3613.339236,0.0,667.7673249,1.0,0.0,1.0,0.705909515,0.7378497190000001,6352.0,416.5586164,8.315683737999999,5395.198496,100.86027,92.96466175,20.40976767,3.648,,1.0,208125.8545,6.038895031,456.2081263,31.72726226,59.52990284,70.0,7.0,13.0,94.39586958,,0.0,1.0,0.0,2.0,494.48751510000005,9
1009.998804,322878.5847,1.0,113690.8423,0.0,1453.612379,0.0,1.0,1.0,0.388004926,0.144246145,5322.0,985.3361652000001,73.16278287,11561.1367,349.25397319999996,12.52112356,31.39006475,10.677999999999999,116792.3212,1.0,919770.0677,,959.0464367000001,14.76579816,336.666268,60.0,2.0,12.0,800.9189911000001,1.0,0.0,3.0,0.0,1.0,941.8103733999999,10
569.6800515,47648.397769999996,0.0,36259.37792,1.0,711.3880716,1.0,1.0,0.0,0.27579746,0.315884543,9253.0,484.3366891,65.27102755,,723.5010171,44.59729446,22.0076507,2.747,54530.678889999996,2.0,62961.7932,6.550917865,250.9218866,10.81360984,189.8933505,30.0,5.0,5.0,249.57135899999997,0.0,2.0,1.0,0.0,2.0,500.7857254,5
189.7468375,18930.92656,1.0,4073.678095,1.0,561.6987869,1.0,0.0,1.0,0.962909895,0.271839646,4423.0,377.4023591,76.74954776,3747.8864710000003,321.86213210000005,37.42058489,19.42684635,5.577000000000001,44117.296630000004,0.0,89585.38377,1.244897782,299.3081753,73.93317958,63.24894583,100.0,0.0,10.0,262.1341685,2.0,1.0,3.0,0.0,1.0,384.2116923,4
406.0298142,43946.031160000006,2.0,18463.14439,0.0,571.9560727,1.0,1.0,1.0,0.985462561,0.214772247,7688.0,379.5985427,47.51044163,4006.2023270000004,52.1134485,15.80024541,19.48328881,2.312,44988.769589999996,0.0,105430.4304,9.274711241,324.70052410000005,99.00398063,135.34327140000002,80.0,4.0,8.0,236.8670943,2.0,2.0,2.0,1.0,0.0,395.69466370000004,4
169.2406335,16722.03815,1.0,3248.901548,1.0,841.0142094,1.0,0.0,1.0,0.37663444799999996,0.093787371,4630.0,536.0535501,30.43430173,4036.2956299999996,514.0924219,12.91843771,23.15283028,5.37,63053.91445,1.0,87864.13637000001,7.027253312999999,296.4188529,59.260710100000004,56.41354449999999,70.0,7.0,10.0,260.1176936,5.0,3.0,1.0,1.0,1.0,657.8482581000001,2
155.2952627,8068.765014,0.0,2741.389377,0.0,353.7048863,1.0,1.0,1.0,0.522808821,0.127630543,9096.0,310.8483835,63.73375671,2180.42397,498.06443949999993,61.66328283,17.63089287,6.904,30201.9941,0.0,24296.30494,0.608902741,155.87272030000003,59.26837851,51.76508756,80.0,4.0,11.0,548.7390727999999,1.0,2.0,0.0,0.0,2.0,116.7081382,1
86.07787411,19738.5558,1.0,861.9593369999999,0.0,889.7122565,0.0,0.0,,0.67324129,0.19613809399999999,3692.0,655.5668916000001,98.91998156,8190.447198000001,233.4314066,98.24429955,25.60404053,6.308,74761.99445,2.0,473249.5306,4.0852562080000006,687.9313415,19.47501579,28.692624699999996,60.0,2.0,5.0,246.93546580000003,1.0,1.0,0.0,0.0,0.0,461.8178398,6
129.6689145,42574.124339999995,2.0,1921.448235,1.0,1336.608911,0.0,1.0,0.0,0.18859088,0.7417958459999999,3165.0,900.1607779999999,4.955031374,11650.20528,796.8880169,83.84704001,30.00267951,12.835,108444.0717,0.0,970202.0942,0.921209266,984.9883725999999,25.82406932,43.22297148,60.0,2.0,8.0,722.5157895,3.0,0.0,0.0,1.0,0.0,,10
22.94198797,3295.024672,1.0,76.12897509999999,1.0,601.1138664,1.0,0.0,1.0,0.473021653,0.490087381,,363.4669448,42.24635484,5035.659893999999,157.6350764,57.07997368,19.06480907,0.19899999999999998,47023.88217,0.0,185651.1978,6.106924096,430.87260039999995,92.35536689,7.647329322999999,70.0,7.0,10.0,157.7280619,,2.0,1.0,0.0,1.0,461.8127119,9
